label,src_dir,row,col,num_points,mask,HH_0_0,HV_0_0,IA_0_0,FYI,MYI
73.40146892,./data/SAR/20180429_140506_canny.tif,3892,9286,1,1,0.2392156862745098,0.0549019607843137,0.0943570454915364,0.8666165471076965,0.13338343799114227
76.99371357,./data/SAR/20180429_140506_canny.tif,3893,9285,1,1,0.1647058823529411,0.0627450980392156,0.0943703894521675,0.8939593434333801,0.1060406044125557
73.08808001,./data/SAR/20180429_140506_canny.tif,3894,9285,1,1,0.1764705882352941,0.0431372549019607,0.0943703894521675,0.9195513725280762,0.0804486870765686
121.4183143,./data/SAR/20180429_140506_canny.tif,3895,9285,1,1,0.1843137254901961,0.0470588235294117,0.0943703894521675,0.9064210057258606,0.09357904642820358
116.9913628,./data/SAR/20180429_140506_canny.tif,3895,9284,1,1,0.1529411764705882,0.0470588235294117,0.0943837334127987,0.88829505443573,0.11170497536659241
130.1392949,./data/SAR/20180429_140506_canny.tif,3896,9284,1,1,0.1725490196078431,0.0392156862745098,0.0943837334127987,0.9290173649787903,0.07098264992237091
146.3756538,./data/SAR/20180429_140506_canny.tif,3897,9284,1,3,0.2196078431372549,0.0549019607843137,0.0943837334127987,0.8645322322845459,0.1354677677154541
77.03789694,./data/SAR/20180429_140506_canny.tif,3898,9283,1,3,0.2235294117647059,0.0588235294117647,0.0943970773734298,0.9001902937889099,0.09980965405702591
113.7194113,./data/SAR/20180429_140506_canny.tif,3899,9283,1,3,0.2627450980392157,0.0392156862745098,0.0943970773734298,0.8456422686576843,0.15435771644115448
180.3253575,./data/SAR/20180429_140506_canny.tif,3900,9283,1,3,0.2627450980392157,0.0588235294117647,0.0943970773734298,0.8818963766098022,0.11810360103845596
43.61669907,./data/SAR/20180429_140506_canny.tif,3901,9283,1,3,0.2470588235294117,0.0705882352941176,0.0943970773734298,0.8449229001998901,0.15507709980010986
55.339068205,./data/SAR/20180429_140506_canny.tif,3902,9282,2,3,0.1647058823529411,0.0627450980392156,0.0944104213340609,0.9313951730728149,0.06860476732254028
67.1937633,./data/SAR/20180429_140506_canny.tif,3903,9282,1,1,0.1568627450980392,0.0431372549019607,0.0944104213340609,0.7838191390037537,0.21618086099624634
83.46338277,./data/SAR/20180429_140506_canny.tif,3904,9282,1,1,0.2392156862745098,0.0549019607843137,0.0944104213340609,0.8271053433418274,0.1728946715593338
92.60897809,./data/SAR/20180429_140506_canny.tif,3905,9281,1,1,0.2274509803921568,0.0705882352941176,0.0944237652946921,0.8524725437164307,0.14752745628356934
219.8479932,./data/SAR/20180429_140506_canny.tif,3906,9281,1,1,0.2078431372549019,0.0588235294117647,0.0944237652946921,0.8000730872154236,0.19992688298225403
194.7026977,./data/SAR/20180429_140506_canny.tif,3907,9281,1,1,0.1647058823529411,0.0509803921568627,0.0944237652946921,0.8484100699424744,0.15158993005752563
95.62514921,./data/SAR/20180429_140506_canny.tif,3908,9281,1,1,0.1843137254901961,0.0549019607843137,0.0944237652946921,0.9263476729393005,0.07365229725837708
107.67150461,./data/SAR/20180429_140506_canny.tif,3909,9280,2,1,0.1529411764705882,0.0588235294117647,0.0944371092553232,0.7906525135040283,0.20934754610061646
140.9603508,./data/SAR/20180429_140506_canny.tif,3910,9280,1,1,0.1411764705882353,0.0549019607843137,0.0944371092553232,0.8306555151939392,0.1693444699048996
60.71715834,./data/SAR/20180429_140506_canny.tif,3911,9280,1,1,0.1686274509803921,0.0431372549019607,0.0944371092553232,0.825329065322876,0.1746709942817688
93.38143588,./data/SAR/20180429_140506_canny.tif,3912,9279,1,1,0.1803921568627451,0.0274509803921568,0.0944504532159543,0.9607658386230469,0.03923420608043671
58.06881634,./data/SAR/20180429_140506_canny.tif,3913,9279,1,1,0.2039215686274509,0.0431372549019607,0.0944504532159543,0.9646918177604675,0.03530815616250038
108.7859479,./data/SAR/20180429_140506_canny.tif,3914,9279,1,1,0.1607843137254902,0.0549019607843137,0.0944504532159543,0.9658479690551758,0.03415205702185631
96.2990529,./data/SAR/20180429_140506_canny.tif,3915,9279,1,1,0.1843137254901961,0.0627450980392156,0.0944504532159543,0.9516140222549438,0.04838595539331436
83.663929005,./data/SAR/20180429_140506_canny.tif,3916,9278,2,1,0.2117647058823529,0.0509803921568627,0.0944637971765854,0.9393627643585205,0.06063728407025337
75.84920067,./data/SAR/20180429_140506_canny.tif,3917,9278,1,1,0.2235294117647059,0.0509803921568627,0.0944637971765854,0.9329990148544312,0.06700097024440765
75.8686234,./data/SAR/20180429_140506_canny.tif,3918,9278,1,1,0.2156862745098039,0.0431372549019607,0.0944637971765854,0.8963707089424133,0.10362932831048965
175.871512,./data/SAR/20180429_140506_canny.tif,3919,9277,1,1,0.2117647058823529,0.0627450980392156,0.0944771411372166,0.8768593072891235,0.12314063310623169
67.90018239,./data/SAR/20180429_140506_canny.tif,3920,9277,1,1,0.2039215686274509,0.0745098039215686,0.0944771411372166,0.91661536693573,0.0833846852183342
58.55368902,./data/SAR/20180429_140506_canny.tif,3921,9277,1,1,0.1803921568627451,0.0666666666666666,0.0944771411372166,0.872803270816803,0.1271967738866806
77.43283878,./data/SAR/20180429_140506_canny.tif,3922,9276,1,1,0.2078431372549019,0.0549019607843137,0.0944904850978477,0.90920490026474,0.0907951220870018
48.88240971,./data/SAR/20180429_140506_canny.tif,3923,9276,1,1,0.188235294117647,0.0509803921568627,0.0944904850978477,0.9286450147628784,0.07135496288537979
66.8379367,./data/SAR/20180429_140506_canny.tif,3924,9276,2,1,0.1372549019607843,0.0470588235294117,0.0944904850978477,0.8427304625511169,0.15726959705352783
